Country,Suicide rates,Age: 70+ years,Age: 50-69 years,Age: 15-49 years,Age: 5-14 years,Female suicide rate,Male suicide rate
Greenland,56.61,69.77,86.4,78.55,3.96,25.18,75.08
Lesotho,43.64,89.46,90.92,43.53,0.33,21.07,41.92
Guyana,35.53,59.92,50.24,46.6,1.25,10.11,43.23
Ukraine,27.75,33.24,31.27,42.8,1.29,6.66,47.4
Kiribati,27.3,24.73,23.55,44.17,2.1,6.97,47.82
Eswatini,25.53,44.17,44.77,29.08,0.27,7.01,40.2
Solomon Islands,25.21,21.44,26.02,38.97,1.58,8.88,23.84
Suriname,24.97,51.5,38.63,31.31,1.2,10.57,40.16
Lithuania,24.86,37.91,44.35,33.1,0.82,7.55,51.41
Zimbabwe,24.29,84.05,47.59,21.36,0.29,14.49,41.08
Kazakhstan,23.31,43.59,32.95,31.15,1.82,7.82,40.41
Russia,22.91,35.72,30.26,34.09,0.89,7.86,44.9
Marshall Islands,22.39,26.38,21.91,34,1.63,11.81,32.66
South Korea,19.89,76.14,34.36,21.43,0.51,12.07,30.94
Central African Republic,19.85,60.6,51.09,14.09,1.18,6.72,28.06
Vanuatu,19.77,24.11,20.19,29.92,1.48,7.55,27.91
Botswana,19.64,41.5,34.67,22.73,0.22,5.35,15.4
Guam,19.42,23.41,17.49,29.58,1.6,7.01,33.27
Sri Lanka,19.28,54.56,25.52,23.39,0.62,7.55,34.19
Belarus,19.04,39.55,32.71,24.97,0.53,5.83,35.1
Northern Mariana Islands,17.85,33.07,20.64,23.3,1.29,3.3,20.6
Mongolia,17.78,11.85,16.66,28.82,2.62,4.92,26.45
Uruguay,17.31,37.34,28.05,21.44,0.63,6.76,28.4
Cape Verde,16.4,40.56,29.3,18.03,0.38,6.13,27.61
Mozambique,16.4,73.23,37.69,10.19,0.75,6.12,31.44
Latvia,15.73,27.83,27.46,21.04,0.4,4.46,31.59
Guinea-Bissau,15.43,55.5,36.43,10.6,0.86,7.02,21.33
Belgium,15.25,28.37,28.82,19.54,0.3,7.67,21.23
Montenegro,14.86,50.22,30.34,14.46,0.62,5.19,13.93
Zambia,14.44,61.28,31.47,9.59,0.82,5.47,21.41
Eritrea,14.39,53.93,32.79,10,0.84,7.36,27.32
Slovenia,14.26,38.65,29.78,15.53,0.67,4.68,24.69
Japan,14.23,25.17,24.73,18.57,0.53,8.76,22.69
Hungary,14.02,38.26,30.57,15.26,0.34,6.01,23.97
Poland,13.85,16.29,25.44,18.56,0.4,3.37,25.07
Cote d'Ivoire,13.78,66.39,29.85,8.48,0.87,5.66,21.57
Cameroon,13.74,59.5,29.78,9.22,0.79,7.7,20.83
Namibia,13.72,36.36,25.43,14.25,0.16,2.94,22.4
Gabon,13.56,57.93,30.49,9.4,0.51,4.2,22.16
India,13.47,22.47,17.13,18.47,0.95,13.33,17.97
Samoa,13.42,22.94,13.98,19.44,1.03,5.11,14.82
Taiwan,13.34,38.81,22.96,16.24,0.2,8.61,18.67
Burkina Faso,13.24,64.41,29.44,7.72,0.84,5.9,21.91
South Africa,13.22,22.82,19.43,17.98,0.03,4.5,18.65
Chad,13.1,64.96,29.59,7.32,0.88,7.22,14.71
Somalia,12.81,47.97,31.03,8.47,1.04,5.31,14.91
Serbia,12.59,46.18,26.11,11.91,0.18,5.9,20.16
France,12.57,31.67,23.24,15.34,0.25,5.59,19.95
Senegal,12.55,65.62,26.82,7.32,0.79,5.17,21.39
Finland,12.47,16.49,19.72,17.04,0.35,5.94,20.04
Estonia,12.43,26.24,22.34,15.44,0.47,3.49,23.3
Burundi,12.41,56.65,26.98,7.85,0.92,5.74,19.74
Europe & Central Asia (WB),12.38,22.71,19.5,16.58,0.59,4.72,21.16
Nepal,12.38,19.35,21.49,15.25,0.55,6.43,10.63
Moldova,12.37,14.86,25.41,15.75,0.66,3.48,25.11
United States,12.35,17.89,19.78,16.34,0.86,5.73,20.27
Angola,12.32,54.31,26.77,8,0.66,4.58,10.79
Congo,12.29,53.97,27.07,8.38,0.53,7.59,21.05
North America (WB),12.26,17.19,19.5,16.35,0.86,5.71,19.87
South Asia (WB),12.25,20.79,15.66,16.64,0.94,11.43,15.67
Togo,12.25,49.03,27.55,8.6,0.68,5.76,20.6
Malawi,12.04,54.59,26.96,7.67,0.78,3.98,22.53
Democratic Republic of Congo,11.95,49.25,27.41,7.74,0.69,4.59,19.86
Uzbekistan,11.78,12.82,13.12,17.14,2.22,4.8,14.43
Canada,11.55,11.6,17.15,16.48,0.87,5.58,16.43
Austria,11.54,36.34,21.03,12.89,0.27,5.17,17.8
Guinea,11.47,50.73,25.98,7.43,0.9,6.64,15.96
Cuba,11.31,45.72,22.55,10.69,0.34,4.74,18.2
Benin,11.28,51.08,24.79,7.21,0.72,5.88,17.14
Croatia,11.14,35.56,23.69,11.3,0.4,4.49,18.54
Sweden,11.13,19.35,19.8,14.2,0.29,6.39,15.76
Czechia,11.04,22.1,19.65,14.12,0.24,3.76,18.19
Kenya,10.97,56.57,23.86,6.26,0.5,4.06,19.39
South-East Asia Region (WHO),10.95,19.36,13.95,14.86,0.83,6.2,22.48
Uganda,10.8,56.07,22.85,6.2,0.66,8.13,15.78
Sub-Saharan Africa (WB),10.78,47.25,22.27,7.62,0.61,5.02,16.43
New Zealand,10.75,10.96,12.38,16.03,0.58,5.42,17.61
Bulgaria,10.66,31.81,20.43,11.83,0.47,3.7,15.91
Argentina,10.55,18.49,13.59,14.39,0.76,3.98,13.8
Australia,10.5,13.19,13.92,15.33,0.37,4.97,2.83
African Region (WHO),10.45,45.7,21.47,7.47,0.6,4.63,14.15
Ethiopia,10.3,59.19,20.86,5.57,0.63,4.56,14.47
Ghana,10.24,46.69,21.95,7,0.62,1.85,19.45
Slovakia,10.04,18.55,20,12.34,0.27,2.9,16.68
Trinidad and Tobago,10.04,12.18,12.14,15.04,0.64,3.45,16.78
Equatorial Guinea,10.03,49.83,19.61,6.4,0.49,4.48,15.4
Tanzania,10.03,51.77,21.01,6.03,0.72,3.98,14.32
Gambia,10.02,47.21,22.55,6.13,0.51,5.73,14.11
Madagascar,9.92,44.41,20.8,6.61,0.71,5.18,17.25
Sierra Leone,9.88,44.19,21.38,6.41,0.77,6.58,13.25
North Korea,9.86,27.54,18.77,10.49,0.58,7.12,16.16
Haiti,9.84,22.04,16.01,11.4,0.81,4.25,13.44
Chile,9.82,15.04,13.79,13.52,0.56,3.7,17.04
Fiji,9.8,16.19,11.2,13.34,1.22,6.02,13.65
Kyrgyzstan,9.73,15.65,13.88,12.37,1.56,3.99,16.67
Switzerland,9.73,26.5,20.2,10.64,0.32,4.98,13.93
Germany,9.55,26.48,17.42,11.17,0.25,4.76,15.36
Ecuador,9.48,13.2,11.25,13.28,2.18,4.51,14.11
World,9.48,25,14.9,11.13,0.64,6.28,13.89
Rwanda,9.41,45.36,18.99,6.26,0.7,5.19,19.16
Djibouti,9.4,45.14,19.62,6.11,0.69,4,12.52
Netherlands,9.26,15.87,18.05,11.54,0.23,5.63,12.86
Niger,9.11,42.99,20.04,5.24,0.68,4.29,11.15
Norway,9.09,11.92,14.57,12.39,0.49,5.32,13.16
Liberia,9.05,43,19.07,5.99,0.6,11.24,15.18
Iceland,9.04,24.71,15.42,10.68,0.21,2.64,16.7
Pakistan,8.91,9.93,8.77,13.56,0.95,4.4,4.5
Turkmenistan,8.86,10.15,9,13.67,0.58,3.59,13.55
Luxembourg,8.84,24.75,14.83,10.68,0.2,4.6,13.03
Romania,8.77,14.97,17.5,11.09,0.5,2.56,16.08
Thailand,8.64,13.39,10.6,12.53,0.28,3.95,17.24
El Salvador,8.63,11.07,10.83,12.24,0.76,3.61,17.63
Denmark,8.59,21.25,17.66,9.76,0.11,4.49,13.29
South Sudan,8.55,47.82,17.75,4.66,0.61,4.53,18.71
Bosnia and Herzegovina,8.44,22.37,14.17,9.87,0.6,2.65,11.41
Mauritius,8.27,7.53,6.92,13.23,0.7,3.11,13.69
Ireland,8.2,6.63,12.85,11.77,0.24,3.05,13.84
Mali,8.2,37.2,17.88,5.18,0.7,3.25,10.27
Vietnam,8.1,23.61,14.32,8.78,0.23,4.53,10.61
Armenia,7.98,34,13.45,7.81,0.29,3.31,21.72
Venezuela,7.9,11.81,9.56,11.15,0.53,2.06,15.53
Costa Rica,7.88,7.66,10.37,11.5,0.62,2.04,14.12
North Macedonia,7.87,29.38,14.24,7.73,0.43,3.37,10.59
Seychelles,7.82,15.49,10.82,10.63,0.12,2.34,13.53
Comoros,7.71,35.56,15.22,5.63,0.73,3.81,13.55
Portugal,7.69,30.99,16.49,7.47,0.11,3.04,13.16
American Samoa,7.44,12.46,7.47,10.7,0.54,3.67,9.88
East Asia & Pacific (WB),7.42,31.62,12.69,7.14,0.38,5.32,10.68
Belize,7.35,16.83,11.06,8.85,0.18,1.84,13.9
Nigeria,7.35,43.39,13.85,4.1,0.4,5.19,10.07
Andorra,7.22,20.46,11.97,9.19,0.12,3.02,12.59
United Kingdom,7.18,7.74,10.78,10.67,0.12,3.35,11.43
Morocco,7.13,12.88,11.23,9.05,0.32,7.29,7
Georgia,7.07,17.59,11.94,8.53,0.19,2.23,13.61
China,7.04,36.63,11.95,5.84,0.45,5.65,8.82
Bolivia,7.03,15.74,12.48,7.96,0.74,4.15,8.79
Dominican Republic,6.88,16.98,11.75,7.84,0.29,3.04,14.9
Latin America & Caribbean (WB),6.78,11.86,9.3,9.02,0.68,2.57,11.54
Laos,6.71,11.52,8.58,9.24,0.45,4.11,12.86
Saint Lucia,6.6,17.58,10.25,8,0.19,1.47,12.53
Singapore,6.59,24.85,10.61,6.75,0.37,4.7,10.25
Saint Vincent and the Grenadines,6.49,18.09,10.89,7.44,0.21,1.58,12.65
Mauritania,6.4,34.11,13.36,3.81,0.41,3.07,10.31
Afghanistan,6.29,9.4,10.07,7.49,0.24,4.63,13.99
Mexico,6.25,7.41,6.47,9.28,0.94,2.06,10.11
