Country,Suicide rates,Age: 70+ years,Age: 50-69 years,Age: 15-49 years,Age: 5-14 years,Female suicide rate,Male suicide rate
Afghanistan,6.36,9.43,10.22,4.33,0.25,4.64,14.1
African Region (WHO),10.56,46.05,21.81,6.33,0.61,4.68,14.18
Albania,5.09,8.51,5.59,5.72,0.77,2.98,7.41
Algeria,3.6,5.51,3.54,3.64,0.28,2.29,6.06
American Samoa,7.46,12.59,7.56,6.99,0.55,3.68,9.9
Andorra,7.25,20.76,12.04,9.74,0.12,3.03,12.67
Angola,12.34,54.54,27.08,6.32,0.63,4.59,5.76
Antigua and Barbuda,2.8,5.61,3.36,3.06,0.07,0.93,3.55
Argentina,10.57,18.38,13.51,11.22,0.77,4,8.72
Armenia,8.2,35.06,13.85,9.74,0.3,3.36,4.16
Australia,10.9,13.67,14.56,12.39,0.39,5.04,3.3
Austria,11.76,36.86,21.67,16.66,0.3,5.28,18.16
Azerbaijan,3.63,10.01,5.49,3.68,0.24,1.63,6.96
Bahamas,2.82,5.53,3.86,3.01,0.08,1.05,5.54
Bahrain,5.05,8.37,4.74,5.72,0.14,1.78,5.67
Bangladesh,4.61,8.14,6.29,4.45,1.23,5.8,6.17
Barbados,3.74,10.64,5.98,4.65,0.17,1.39,6.9
Belarus,18.8,39.45,32.57,24.02,0.54,5.77,34.83
Belgium,15.25,28.39,28.98,19.8,0.31,7.85,21.36
Belize,7.13,16.63,11.04,6.34,0.19,1.86,13.77
Benin,11.33,51.23,24.88,6,0.72,5.93,17.3
Bermuda,3.24,10.93,5.09,4.42,0.08,0.85,6.48
Bhutan,5.94,20.18,10.83,5.31,0.29,3.06,8.25
Bolivia,7.07,15.68,12.49,6.38,0.77,4.18,8.83
Bosnia and Herzegovina,8.55,22.55,14.24,11,0.68,2.72,11.52
Botswana,19.81,41.57,35.07,17.4,0.21,5.49,15.51
Brazil,6.06,9.82,9.12,6.53,0.49,2.29,10.18
Brunei,5.73,21.05,8.43,5.32,0.2,3.07,9.11
Bulgaria,10.57,31.73,20.18,15.2,0.46,3.72,15.66
Burkina Faso,13.16,64.57,29.24,6.88,0.85,5.94,22.02
Burundi,12.53,57.22,27.21,6.71,0.94,5.77,19.87
Cambodia,5.29,12.34,9.1,4.81,0.34,2.39,7.24
Cameroon,14,60.46,30.56,7.94,0.8,7.85,21.13
Canada,11.73,11.7,17.49,13.66,0.87,5.7,16.63
Cape Verde,16.47,39.07,28.87,15.08,0.39,6.15,27.75
Central African Republic,20.02,60.92,51.79,12.01,1.17,6.86,28.16
Chad,13.19,65.39,30,6.15,0.88,7.23,14.77
Chile,9.87,15.01,13.94,11.06,0.59,3.77,16.99
China,7.15,37.57,12.32,8.63,0.48,5.78,8.78
Colombia,5.51,7.54,5.88,5.79,0.95,1.88,9.46
Comoros,7.77,35.87,15.35,5.96,0.74,3.86,13.54
Congo,12.38,53.96,27.35,7.78,0.54,7.61,20.84
Costa Rica,7.74,7.74,10.52,8.37,0.62,2.04,14.07
Cote d'Ivoire,14.13,67.68,30.73,7.78,0.9,5.74,21.93
Croatia,11.23,35.7,23.86,16.38,0.42,4.68,18.87
Cuba,11,44.14,21.9,14.98,0.34,4.8,17.99
Cyprus,4.16,6.6,6.16,5,0.08,1.72,7.66
Czechia,11.12,22.44,19.76,14.48,0.26,3.82,18.45
Democratic Republic of Congo,12.03,49.45,27.67,6.68,0.72,4.59,19.84
Denmark,8.53,21.17,17.64,11.59,0.11,4.42,13.09
Djibouti,9.34,44.88,19.63,5.86,0.69,4.04,12.55
Dominica,4.83,12.1,7.01,5.31,0.22,1.41,7.63
Dominican Republic,7.19,17.73,12.35,6.89,0.31,3.09,15.06
East Asia & Pacific (WB),7.53,32.3,13.08,8.84,0.4,5.43,10.68
Ecuador,9.44,13.19,11.21,9.45,2.21,4.54,14.2
Egypt,3.6,7.4,6.61,3.13,0.21,2.73,8.02
El Salvador,8.77,11.23,11.03,8.81,0.82,3.63,17.89
